Time,PosX,PosY,PosZ,VelX,VelY,VelZ,Roll,Pitch,Yaw
4.079999999999773,0.0,0.0,0.9980825509180531,0.0,0.0,-0.0025840983410757024,0.0,-0.0,0.0
4.0819999999997725,0.0,0.0,0.9980773827213709,0.0,0.0,-0.0025533570331240517,0.0,-0.0,0.0
4.083999999999772,0.0,0.0,0.9980722760073046,0.0,0.0,-0.002522748239040475,0.0,-0.0,0.0
4.085999999999772,0.0,0.0,0.9980672305108266,0.0,0.0,-0.0024922717143669114,0.0,-0.0,0.0
4.087999999999772,0.0,0.0,0.9980622459673978,0.0,0.0,-0.002461927213832674,0.0,-0.0,0.0
4.089999999999772,0.0,0.0,0.9980573221129702,0.0,0.0,-0.002431714491363174,0.0,-0.0,0.0
4.091999999999771,0.0,0.0,0.9980524586839874,0.0,0.0,-0.0024016333000885944,0.0,-0.0,0.0
4.093999999999771,0.0,0.0,0.9980476554173873,0.0,0.0,-0.0023716833923525444,0.0,-0.0,0.0
4.095999999999771,0.0,0.0,0.9980429120506026,0.0,0.0,-0.002341864519720659,0.0,-0.0,0.0
4.097999999999771,0.0,0.0,0.9980382283215632,0.0,0.0,-0.0023121764329891692,0.0,-0.0,0.0
4.0999999999997705,0.0,0.0,0.9980336039686972,0.0,0.0,-0.0022826188821934395,0.0,-0.0,0.0
4.10199999999977,0.0,0.0,0.9980290387309328,0.0,0.0,-0.0022531916166164765,0.0,-0.0,0.0
4.10399999999977,0.0,0.0,0.9980245323476996,0.0,0.0,-0.002223894384797387,0.0,-0.0,0.0
4.10599999999977,0.0,0.0,0.99802008455893,0.0,0.0,-0.002194726934539805,0.0,-0.0,0.0
4.10799999999977,0.0,0.0,0.9980156951050609,0.0,0.0,-0.002165689012920282,0.0,-0.0,0.0
4.109999999999769,0.0,0.0,0.9980113637270351,0.0,0.0,-0.002136780366296648,0.0,-0.0,0.0
4.111999999999769,0.0,0.0,0.9980070901663025,0.0,0.0,-0.0021080007403163313,0.0,-0.0,0.0
4.113999999999769,0.0,0.0,0.9980028741648219,0.0,0.0,-0.0020793498799246387,0.0,-0.0,0.0
4.115999999999769,0.0,0.0,0.997998715465062,0.0,0.0,-0.0020508275293730236,0.0,-0.0,0.0
4.1179999999997685,0.0,0.0,0.9979946138100033,0.0,0.0,-0.0020224334322272775,0.0,-0.0,0.0
4.119999999999768,0.0,0.0,0.9979905689431389,0.0,0.0,-0.0019941673313757314,0.0,-0.0,0.0
4.121999999999768,0.0,0.0,0.9979865806084761,0.0,0.0,-0.001966028969037389,0.0,-0.0,0.0
